Time,Setpoint,Position,Error,Command
0.00,50.0,5.0,45.0,100.0
0.01,50.0,9.7,40.2,100.0
0.02,50.0,14.3,35.7,100.0
0.03,50.0,18.5,31.5,100.0
0.04,50.0,22.6,27.4,100.0
0.05,50.0,26.5,23.5,100.0
0.06,50.0,29.6,20.4,87.9
0.07,50.0,32.2,17.8,83.0
0.08,50.0,34.2,15.8,72.4
0.09,50.0,36.1,13.9,72.1
0.10,50.0,37.5,12.5,63.9
0.11,50.0,38.6,11.4,60.2
0.12,50.0,39.8,10.2,61.0
0.13,50.0,40.4,9.6,52.4
0.14,50.0,41.2,8.8,55.6
0.15,50.0,41.7,8.3,51.8
0.16,50.0,42.2,7.8,52.6
0.17,50.0,42.5,7.5,47.6
0.18,50.0,43.0,7.0,52.6
0.19,50.0,43.1,6.9,44.8
0.20,50.0,43.5,6.5,51.0
0.21,50.0,43.6,6.4,45.5
0.22,50.0,43.8,6.2,47.0
0.23,50.0,43.9,6.1,45.8
0.24,50.0,44.1,5.9,49.0
0.25,50.0,44.1,5.9,42.8
0.26,50.0,44.3,5.7,49.5
0.27,50.0,44.2,5.8,42.5
0.28,50.0,44.5,5.5,49.8
0.29,50.0,44.5,5.5,43.5
0.30,50.0,44.6,5.4,46.7
0.31,50.0,44.7,5.3,46.1
0.32,50.0,44.6,5.4,44.4
0.33,50.0,44.7,5.3,46.7
0.34,50.0,44.7,5.3,43.4
0.35,50.0,44.8,5.2,47.7
0.36,50.0,44.7,5.3,43.2
0.37,50.0,44.9,5.1,47.6
0.38,50.0,44.9,5.1,44.5
0.39,50.0,45.0,5.0,46.9
0.40,50.0,44.9,5.1,43.6
0.41,50.0,45.0,5.0,47.1
0.42,50.0,45.1,4.9,47.4
0.43,50.0,45.0,5.0,42.2
0.44,50.0,45.2,4.8,48.4
0.45,50.0,45.1,4.9,44.2
0.46,50.0,45.2,4.8,46.7
0.47,50.0,45.2,4.8,45.3
0.48,50.0,45.3,4.7,47.8
0.49,50.0,45.3,4.7,44.5
0.50,50.0,45.3,4.7,45.4
0.51,50.0,45.4,4.6,46.8
0.52,50.0,45.3,4.7,44.6
0.53,50.0,45.4,4.6,47.4
0.54,50.0,45.5,4.5,46.4
0.55,50.0,45.5,4.5,45.8
0.56,50.0,45.6,4.4,47.5
0.57,50.0,45.5,4.5,43.1
0.58,50.0,45.7,4.3,50.3
0.59,50.0,45.5,4.5,42.2
0.60,50.0,45.7,4.3,49.5
0.61,50.0,45.6,4.4,43.3
0.62,50.0,45.8,4.2,49.2
0.63,50.0,45.6,4.4,42.9
0.64,50.0,45.8,4.2,49.4
0.65,50.0,45.8,4.2,45.6
0.66,50.0,45.8,4.2,45.1
0.67,50.0,45.8,4.2,46.7
0.68,50.0,45.9,4.1,46.6
0.69,50.0,46.0,4.0,47.5
0.70,50.0,45.8,4.2,43.7
0.71,50.0,46.0,4.0,49.3
0.72,50.0,46.0,4.0,45.0
0.73,50.0,46.1,3.9,48.2
0.74,50.0,46.0,4.0,45.5
0.75,50.0,46.1,3.9,47.9
0.76,50.0,46.0,4.0,43.9
0.77,50.0,46.1,3.9,48.4
0.78,50.0,46.2,3.8,46.4
0.79,50.0,46.2,3.8,47.6
0.80,50.0,46.2,3.8,45.6
0.81,50.0,46.3,3.7,47.5
0.82,50.0,46.2,3.8,45.6
0.83,50.0,46.3,3.7,47.6
0.84,50.0,46.3,3.7,47.1
0.85,50.0,46.3,3.7,44.8
0.86,50.0,46.4,3.6,49.1
0.87,50.0,46.4,3.6,46.3
0.88,50.0,46.5,3.5,48.0
0.89,50.0,46.4,3.6,45.7
0.90,50.0,46.5,3.5,48.3
0.91,50.0,46.5,3.5,46.4
0.92,50.0,46.5,3.5,45.4
0.93,50.0,46.5,3.5,47.4
0.94,50.0,46.6,3.4,48.0
0.95,50.0,46.6,3.4,47.0
0.96,50.0,46.5,3.5,45.0
0.97,50.0,46.6,3.4,48.5
0.98,50.0,46.7,3.3,47.1
0.99,50.0,46.7,3.3,47.8
1.00,50.0,46.6,3.4,44.5
1.01,50.0,46.7,3.3,49.2
1.02,50.0,46.7,3.3,45.2
1.03,50.0,46.9,3.1,50.8
1.04,50.0,46.7,3.3,43.8
1.05,50.0,46.8,3.2,48.2
1.06,50.0,46.8,3.2,46.1
1.07,50.0,46.9,3.1,50.0
1.08,50.0,46.9,3.1,45.6
1.09,50.0,46.9,3.1,47.4
1.10,50.0,46.9,3.1,46.9
1.11,50.0,47.0,3.0,48.6
1.12,50.0,46.9,3.1,46.6
1.13,50.0,46.9,3.1,46.9
1.14,50.0,47.0,3.0,47.3
1.15,50.0,47.0,3.0,47.1
1.16,50.0,47.1,2.9,50.1
1.17,50.0,47.0,3.0,45.0
1.18,50.0,47.1,2.9,48.0
1.19,50.0,47.2,2.8,49.2
1.20,50.0,47.1,2.9,45.3
1.21,50.0,47.2,2.8,50.3
1.22,50.0,47.1,2.9,44.9
1.23,50.0,47.3,2.7,50.4
1.24,50.0,47.2,2.8,44.6
1.25,50.0,47.3,2.7,50.2
1.26,50.0,47.3,2.7,46.7
1.27,50.0,47.3,2.7,48.5
1.28,50.0,47.3,2.7,46.9
1.29,50.0,47.3,2.7,46.8
1.30,50.0,47.3,2.7,48.3
1.31,50.0,47.4,2.6,48.4
1.32,50.0,47.3,2.7,45.4
1.33,50.0,47.5,2.5,50.7
1.34,50.0,47.4,2.6,46.3
1.35,50.0,47.4,2.6,47.1
1.36,50.0,47.4,2.6,47.7
1.37,50.0,47.5,2.5,48.4
1.38,50.0,47.5,2.5,47.7
1.39,50.0,47.5,2.5,47.8
1.40,50.0,47.5,2.5,47.2
1.41,50.0,47.5,2.5,47.4
1.42,50.0,47.5,2.5,48.4
1.43,50.0,47.5,2.5,47.1
1.44,50.0,47.6,2.4,49.8
1.45,50.0,47.5,2.5,45.0
1.46,50.0,47.7,2.3,52.0
1.47,50.0,47.6,2.4,45.7
1.48,50.0,47.6,2.4,46.9
1.49,50.0,47.7,2.3,49.9
1.50,50.0,47.6,2.4,46.0
1.51,50.0,47.7,2.3,50.2
1.52,50.0,47.7,2.3,47.2
1.53,50.0,47.7,2.3,48.0
1.54,50.0,47.7,2.3,47.0
1.55,50.0,47.8,2.2,50.7
1.56,50.0,47.7,2.3,44.6
1.57,50.0,47.9,2.1,51.5
1.58,50.0,47.7,2.3,44.0
1.59,50.0,47.9,2.1,52.1
1.60,50.0,47.7,2.3,44.1
1.61,50.0,48.0,2.0,52.8
1.62,50.0,47.8,2.2,45.1
1.63,50.0,47.9,2.1,49.2
1.64,50.0,47.9,2.1,47.3
1.65,50.0,48.0,2.0,50.1
1.66,50.0,47.9,2.1,47.3
1.67,50.0,47.9,2.1,46.6
1.68,50.0,47.9,2.1,48.6
1.69,50.0,47.9,2.1,48.1
1.70,50.0,48.0,2.0,49.7
1.71,50.0,48.0,2.0,47.4
1.72,50.0,48.0,2.0,48.9
1.73,50.0,48.0,2.0,47.3
1.74,50.0,48.1,1.9,49.6
1.75,50.0,48.0,2.0,45.9
1.76,50.0,48.1,1.9,51.3
1.77,50.0,48.0,2.0,46.7
1.78,50.0,48.1,1.9,49.9
1.79,50.0,48.0,2.0,46.2
1.80,50.0,48.1,1.9,49.8
1.81,50.0,48.1,1.9,46.5
1.82,50.0,48.1,1.9,49.1
1.83,50.0,48.1,1.9,48.8
1.84,50.0,48.1,1.9,46.8
1.85,50.0,48.2,1.8,49.9
1.86,50.0,48.2,1.8,49.1
1.87,50.0,48.1,1.9,46.2
1.88,50.0,48.3,1.7,51.8
1.89,50.0,48.1,1.9,44.9
1.90,50.0,48.3,1.7,51.4
1.91,50.0,48.1,1.9,45.5
1.92,50.0,48.2,1.8,49.7
1.93,50.0,48.2,1.8,48.5
1.94,50.0,48.3,1.7,50.1
1.95,50.0,48.2,1.8,45.9
1.96,50.0,48.3,1.7,49.8
1.97,50.0,48.3,1.7,47.7
1.98,50.0,48.3,1.7,49.6
1.99,50.0,48.4,1.6,49.3
2.00,50.0,48.3,1.7,47.7
2.01,50.0,48.3,1.7,47.4
2.02,50.0,48.4,1.6,50.9
2.03,50.0,48.4,1.6,48.0
2.04,50.0,48.4,1.6,47.9
2.05,50.0,48.4,1.6,49.4
2.06,50.0,48.4,1.6,47.8
2.07,50.0,48.4,1.6,48.5
2.08,50.0,48.4,1.6,47.9
2.09,50.0,48.5,1.5,50.5
2.10,50.0,48.4,1.6,47.7
2.11,50.0,48.5,1.5,49.3
2.12,50.0,48.4,1.6,46.9
2.13,50.0,48.6,1.4,51.7
2.14,50.0,48.4,1.6,44.5
2.15,50.0,48.6,1.4,53.9
2.16,50.0,48.5,1.5,45.4
2.17,50.0,48.6,1.4,49.8
2.18,50.0,48.6,1.4,48.5
2.19,50.0,48.5,1.5,47.8
2.20,50.0,48.6,1.4,50.6
2.21,50.0,48.6,1.4,47.9
2.22,50.0,48.5,1.5,47.0
2.23,50.0,48.7,1.3,51.9
2.24,50.0,48.5,1.5,45.9
2.25,50.0,48.6,1.4,49.3
2.26,50.0,48.6,1.4,50.0
2.27,50.0,48.6,1.4,48.0
2.28,50.0,48.6,1.4,49.2
2.29,50.0,48.6,1.4,47.2
2.30,50.0,48.7,1.3,52.1
2.31,50.0,48.6,1.4,45.7
2.32,50.0,48.8,1.2,52.0
2.33,50.0,48.6,1.4,45.1
2.34,50.0,48.8,1.2,52.8
2.35,50.0,48.6,1.4,44.3
2.36,50.0,48.8,1.2,54.0
2.37,50.0,48.6,1.4,44.0
2.38,50.0,48.8,1.2,53.1
2.39,50.0,48.7,1.3,46.0
2.40,50.0,48.8,1.2,51.9
